rank	name	win_pct	recent_win_pct	total_games	wins	losses	form_1	form_2	form_3	form_4	form_5	form_6	form_7	form_8	form_9	form_10
1	TAAPZ	73	62.3	3100	2200	847	W	W	W	W	W	L	W	W	W	L
2	LANES	66	63.6	4000	2600	1300	L	W	L	W	L	W	W	L	W	W
3	HOGGY	64	67	4900	3100	1700	W	W	L	W	L	L	L	W	W	W
4	VISIONARY	60	59.2	323	195	128	W	W	W	W	L	W	L	L	L	L
5	ALLFATHER	60	51	299	178	121	L	W	L	L	L	L	W	L	W	L
6	HYPER	59	55.3	945	558	387	W	W	W	W	W	W	W	W	W	L
7	CURSE	59	54.1	1200	754	525	W	W	W	W	W	L	L	W	W	W
8	CLAMPS	58	64.4	1400	836	593	L	L	L	W	L	L	W	W	W	L
9	RUTHLESS	57	60.4	1500	849	649	L	W	W	L	L	W	W	L	W	L
10	CRUCIAL	57	55.6	820	465	355	L	L	L	L	W	L	W	W	W	W
11	ENDEAVOR	57	52.8	648	368	280	L	L	W	L	L	L	W	L	L	L
12	SHELL	57	47	507	288	219	L	L	L	L	W	W	L	W	L	L
13	PRODIGY	56	55.5	1600	927	714	L	L	L	W	L	W	L	W	W	W
14	SHIVER	56	52	396	223	173	L	L	L	W	W	W	W	L	W	W
15	AM	55	60	3900	2100	1700	W	W	W	W	W	W	L	W	W	W
16	BULLSEYE	55	59.5	1900	1000	882	L	W	W	W	W	L	W	L	L	W
17	DEFIANT	55	56.3	462	252	210	L	L	W	L	L	W	L	W	L	L
18	BABYLON	55	55.6	846	468	378	W	L	W	W	W	L	W	W	L	L
19	GALAXY	55	53.5	1000	576	462	L	W	W	W	L	W	W	L	W	W
20	DEPUTY	55	47.6	289	158	131	W	W	W	W	W	W	W	L	W	W
21	JACKAL	54	57.9	2600	1400	1200	L	L	L	L	L	W	L	W	L	W
22	PACIFIER	54	53.8	720	387	333	L	L	L	L	W	W	W	W	W	W
23	SONIC	54	52.5	638	345	293	W	L	L	W	W	L	W	W	L	W
24	ANSWER	54	51.6	598	321	277	W	W	W	W	W	W	L	W	W	W
25	COMMANDER	54	49.9	642	348	294	W	W	L	W	W	W	W	W	W	L
26	COMBO	53	59.5	2500	1300	1200	L	W	L	W	L	L	W	L	L	W
27	DISCORD	53	55.6	714	377	336	L	L	L	L	L	L	L	L	L	L
28	DOC	53	54.9	862	455	407	L	L	L	L	L	L	L	L	W	L
29	LAW	53	54	765	409	356	L	L	W	W	W	W	L	W	W	W
30	OCEAN	53	53.4	1500	830	728	L	W	W	L	W	W	W	W	W	W
31	MEDUSA	53	49.9	272	145	127	L	L	W	W	L	L	L	L	W	W
32	ENCORE	52	60.3	1300	712	661	W	W	W	L	W	L	L	W	W	W
33	TD24	52	60	3400	1700	1600	L	W	L	L	W	L	L	L	W	L
34	EXO	52	58.7	3000	1500	1400	L	L	W	L	W	W	L	W	W	W
35	CALAMITY	52	57.9	1700	919	855	W	L	W	W	W	L	W	L	L	L
36	HORROR	52	57.5	1000	556	518	W	L	L	W	L	W	L	L	L	W
37	THUNDER	52	57.3	709	372	337	W	W	W	L	W	W	W	W	W	L
